,dataset,matrix,sibling_count,data_size,vocab_size,config,is_pre
151,Benign,pam250,2456,30727,1600,0.8_3_12_0,False
152,Benign,pam250,2630,30727,12800,0.9_3_12_0.005,False
153,Benign,pam250,1683,30727,3200,0.9_3_12_0.2,False
154,Benign,pam250,4711,30727,12800,0.8_3_12_0,False
155,Benign,pam250,2107,30727,6400,0.9_3_12_0.2,False
156,Benign,pam250,2597,30727,12800,0.9_3_12_0.05,False
157,Benign,pam250,5804,30727,51200,0.8_3_12_0.1,False
158,Benign,pam250,769,30727,800,0.9_3_12_0.005,False
159,Benign,pam250,3155,30727,51200,0.9_3_12_0.2,False
160,Benign,pam250,5319,30727,25600,0.8_3_12_0.1,False
161,Benign,pam250,2476,30727,1600,0.8_3_12_0.005,False
162,Benign,pam250,1453,30727,800,0.8_3_12_0.2,False
163,Benign,pam250,4317,30727,12800,0.8_3_12_0.2,False
164,Benign,pam250,4768,30727,12800,0.8_3_12_0.005,False
165,Benign,pam250,2590,30727,12800,0.9_3_12_0.1,False
166,Benign,pam250,2623,30727,12800,0.9_3_12_0,False
167,Benign,pam250,2890,30727,25600,0.9_3_12_0.2,False
168,Benign,pam250,2532,30727,1600,0.8_3_12_0.05,False
169,Benign,pam250,2529,30727,1600,0.8_3_12_0.1,False
170,Benign,pam250,1738,30727,3200,0.9_3_12_0.05,False
171,Benign,pam250,777,30727,800,0.9_3_12_0.05,False
172,Benign,pam250,2156,30727,6400,0.9_3_12_0.05,False
173,Benign,pam250,4773,30727,12800,0.8_3_12_0.05,False
174,Benign,pam250,2367,30727,1600,0.8_3_12_0.2,False
175,Benign,blosum45,556,30727,800,0.8_3_12_0.05,False
176,Benign,blosum45,3819,30727,12800,0.7_3_12_0.05,False
177,Benign,blosum45,1847,30727,6400,0.8_3_12_0.005,False
178,Benign,blosum45,27,30727,800,0.9_3_12_0,False
179,Benign,blosum45,2676,30727,25600,0.8_3_12_0.05,False
180,Benign,blosum45,991,30727,1600,0.8_3_12_0,False
181,Benign,blosum45,54,30727,1600,0.9_3_12_0.1,False
182,Benign,blosum45,1411,30727,3200,0.8_3_12_0.005,False
183,Benign,blosum45,52,30727,1600,0.9_3_12_0.2,False
184,Benign,blosum45,55,30727,1600,0.9_3_12_0,False
185,Benign,blosum45,1134,30727,800,0.7_3_12_0,False
186,Benign,blosum45,4690,30727,51200,0.7_3_12_0,False
187,Benign,blosum45,410,30727,12800,0.9_3_12_0.005,False
188,Benign,blosum45,2782,30727,51200,0.8_3_12_0.2,False
189,Benign,blosum45,4265,30727,25600,0.7_3_12_0.005,False
